feature,shap_mean_abs
cos_y1,0.19723216218690032
t_days,0.16837903530486775
doy,0.09319283247903383
days_to_eom,0.06055349582440339
t_years,0.05798837081734457
sin_m1,0.041799485171714126
cos_m1,0.041155413261734324
sin_y1,0.03141187120127676
day,0.030463325030902374
sin_w1,0.027030715529615414
tet_days_diff,0.02219594053674765
dow,0.020147156480537953
month,0.019291013422028037
cos_w1,0.018511409669313215
year,0.013273395678287246
sin_y2,0.012627483994228368
sin_m2,0.012015965661109022
days_from_som,0.010664975819933769
cos_y3,0.010574268953369466
sin_y3,0.010554268087135709
cos_y5,0.010523696032699106
sin_y4,0.010089921763659235
sin_y5,0.00820904035330476
cos_y2,0.007077198815474005
sin_w2,0.0059340196898267205
promo_year_end_since,0.0055487944899550515
cos_y4,0.005032169640501165
cos_m2,0.004863960712155795
is_odd_year,0.0031316535660402857
cos_w2,0.0025426135385462245
promo_fall_launch_since,0.002484982973418426
dim,0.00201352362339034
sum_discount_active,0.001906817436518675
promo_year_end_until,0.0015710870424290489
promo_fall_launch,0.001563809555787173
tet_in_14,0.0013835301348364534
is_last3,0.0011949963171973084
promo_urban_blowout_since,0.0011147614587858556
quarter,0.001090303578906977
is_last2,0.0010602056617974147
promo_fall_launch_until,0.0008454590327099596
promo_spring_sale,0.0005636511561217437
is_first1,0.0005346842540328992
promo_mid_year_until,0.0005340173803035182
is_weekend,0.0005093655976562732
n_active_promos,0.0005007635181586857
promo_rural_special_since,0.00043036576454134353
promo_spring_sale_until,0.00040465555006015776
promo_fall_launch_disc,0.0003541316154809658
promo_spring_sale_since,0.00035075958377841994
promo_rural_special_until,0.0003284612263705461
promo_mid_year_since,0.00032372789432763316
tet_in_21,0.00031315126953121393
is_first3,0.0003093435950018712
promo_urban_blowout_until,0.00024474062136206913
is_payday,0.0002320711902421562
is_month_end_zone,0.00022772707408535905
tet_before_7,0.00022461402711240996
tet_after_7,0.00017506284047455386
promo_urban_blowout,0.00011539382226730477
is_first2,9.816332583105904e-05
is_last1,9.202116240662384e-05
tet_in_7,6.006093008679168e-05
promo_rural_special,5.702744078308191e-05
has_streetwear_promo,5.67376266738378e-05
promo_year_end,1.8999817390400505e-05
promo_rural_special_disc,1.5558451724942915e-05
promo_spring_sale_disc,6.8058315599628045e-06
promo_mid_year,1.5913524723797368e-06
promo_urban_blowout_disc,0.0
promo_year_end_disc,0.0
hol_reunification,0.0
promo_mid_year_disc,0.0
tet_on,0.0
hol_black_friday,0.0
hol_christmas,0.0
hol_christmas_eve,0.0
hol_dd_1212,0.0
hol_dd_1111,0.0
hol_vn_womens_day,0.0
hol_national_day,0.0
hol_labor_day,0.0
hol_womens_day,0.0
hol_new_year,0.0
regime_post2019,0.0
regime_2019,0.0
regime_pre2019,0.0
has_outdoor_promo,0.0
